file,class,method,variable,usage
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\Point2D.java,demo.convexhull.Point2D,scale/1[double],x,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\Point2D.java,demo.convexhull.Point2D,scale/1[double],y,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\Point2D.java,demo.convexhull.Point2D,"add/2[double,double]",x,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\Point2D.java,demo.convexhull.Point2D,"add/2[double,double]",y,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\Point2D.java,demo.convexhull.Point2D,"Point2D/2[double,double]",x,3
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\Point2D.java,demo.convexhull.Point2D,"Point2D/2[double,double]",y,3
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\Point2D.java,demo.convexhull.Point2D,compareTo/1[demo.convexhull.Point2D],x,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\Point2D.java,demo.convexhull.Point2D,compareTo/1[demo.convexhull.Point2D],y,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\Point2D.java,demo.convexhull.Point2D,rotate/1[double],x,2
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\Point2D.java,demo.convexhull.Point2D,rotate/1[double],y,2
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\order\OrderGenModel.java,demo.order.OrderGenModel,OrderGenModel/1[int],itemCount,3
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\textnorm\TextMetrics.java,demo.textnorm.TextMetrics,"TextMetrics/3[int,int,java.util.Map<java.lang.String,java.lang.Integer>]",tokenFrequencies,3
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\textnorm\TextMetrics.java,demo.textnorm.TextMetrics,"TextMetrics/3[int,int,java.util.Map<java.lang.String,java.lang.Integer>]",vocabularySize,3
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\textnorm\TextMetrics.java,demo.textnorm.TextMetrics,"TextMetrics/3[int,int,java.util.Map<java.lang.String,java.lang.Integer>]",totalTokens,3
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\textnorm\TextMetrics.java,demo.textnorm.TextMetrics,getTokenFrequencies/0,tokenFrequencies,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\textnorm\TextMetrics.java,demo.textnorm.TextMetrics,getTotalTokens/0,totalTokens,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\textnorm\TextMetrics.java,demo.textnorm.TextMetrics,getVocabularySize/0,vocabularySize,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\HullUtils.java,demo.convexhull.HullUtils,"eqSeq/2[java.util.List<demo.convexhull.Point2D>,java.util.List<demo.convexhull.Point2D>]",EPS,2
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\textnorm\TextGenModel.java,demo.textnorm.TextGenModel,getMinTokensPerSentence/0,minTokensPerSentence,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\textnorm\TextGenModel.java,demo.textnorm.TextGenModel,setMinTokensPerSentence/1[int],minTokensPerSentence,3
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\textnorm\TextGenModel.java,demo.textnorm.TextGenModel,setSeed/1[long],seed,3
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\textnorm\TextGenModel.java,demo.textnorm.TextGenModel,setSentences/1[int],sentences,3
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\textnorm\TextGenModel.java,demo.textnorm.TextGenModel,getMaxTokensPerSentence/0,maxTokensPerSentence,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\textnorm\TextGenModel.java,demo.textnorm.TextGenModel,getSeed/0,seed,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\textnorm\TextGenModel.java,demo.textnorm.TextGenModel,getSentences/0,sentences,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\textnorm\TextGenModel.java,demo.textnorm.TextGenModel,setMaxTokensPerSentence/1[int],maxTokensPerSentence,3
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\textnorm\TextCorpus.java,demo.textnorm.TextCorpus,TextCorpus/1[java.util.List<java.lang.String>],sentences,3
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\textnorm\TextCorpus.java,demo.textnorm.TextCorpus,getSentences/0,sentences,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\target\generated-sources\annotations\mtaas\generated\order_total\MetamorphicRelation_order_total.java,mtaas.generated.order_total.MetamorphicRelation_order_total,validate/1[demo.order.Order],comparer,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\order\Order.java,demo.order.Order,Order/1[java.util.List<java.math.BigDecimal>],items,3
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\target\generated-sources\annotations\mtaas\generated\textnorm_duplicate\MetamorphicRelation_textnorm_duplicate.java,mtaas.generated.textnorm_duplicate.MetamorphicRelation_textnorm_duplicate,validate/1[demo.textnorm.TextCorpus],comparer,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\textnorm\TextDataGenerator.java,demo.textnorm.TextDataGenerator,make/1[demo.textnorm.TextGenModel],DICTIONARY,1
