file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\Point2D.java,demo.convexhull.Point2D,scale/1[double],false,8,1,2,1,1,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,1,0,false
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\Point2D.java,demo.convexhull.Point2D,"add/2[double,double]",false,6,1,2,1,1,1,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,1,0,false
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\Point2D.java,demo.convexhull.Point2D,"Point2D/2[double,double]",true,5,0,4,4,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,1,0,false
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\Point2D.java,demo.convexhull.Point2D,compareTo/1[demo.convexhull.Point2D],false,9,1,1,1,0,2,1,4,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,6,1,0,false
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\Point2D.java,demo.convexhull.Point2D,rotate/1[double],false,7,1,2,1,1,1,2,4,1,2,1,2,0,0,0,0,0,0,0,0,2,6,0,0,0,0,8,1,0,false
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\order\OrderOutputMetamorphosis.java,demo.order.OrderOutputMetamorphosis,addTax/1[java.math.BigDecimal],false,11,0,1,1,0,1,2,3,1,0,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,9,0,false
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\textnorm\TextOutputMetamorphosisDoubleCounts.java,demo.textnorm.TextOutputMetamorphosisDoubleCounts,doubleCounts/1[demo.textnorm.TextMetrics],false,11,1,6,2,4,2,7,7,1,1,1,7,0,0,1,0,0,0,0,2,1,2,1,0,0,0,7,9,0,false
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\generator\RotateDataGenerator.java,demo.convexhull.generator.RotateDataGenerator,make/0,false,7,1,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,9,0,false
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\target\generated-sources\annotations\mtaas\generated\order_total\MetamorphicFunction_order_total.java,mtaas.generated.order_total.MetamorphicFunction_order_total,run/1[demo.order.OrderGenModel],false,4,4,3,0,3,1,2,5,1,2,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,8,1,0,false
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\HullArtifactEntry.java,demo.convexhull.HullArtifactEntry,run/1[java.util.List<demo.convexhull.Point2D>],false,14,2,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\HullArtifactEntry.java,demo.convexhull.HullArtifactEntry,HullArtifactEntry/0,true,12,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,false
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\order\OrderGenModel.java,demo.order.OrderGenModel,OrderGenModel/1[int],true,5,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\textnorm\TextMetrics.java,demo.textnorm.TextMetrics,"TextMetrics/3[int,int,java.util.Map<java.lang.String,java.lang.Integer>]",true,12,0,2,2,0,1,0,5,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,1,0,false
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\textnorm\TextMetrics.java,demo.textnorm.TextMetrics,getTokenFrequencies/0,false,20,0,2,2,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\textnorm\TextMetrics.java,demo.textnorm.TextMetrics,getTotalTokens/0,false,18,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\textnorm\TextMetrics.java,demo.textnorm.TextMetrics,getVocabularySize/0,false,19,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\generator\BaseCloud.java,demo.convexhull.generator.BaseCloud,cloud/1[long],false,8,2,6,4,2,4,6,21,1,11,1,6,0,0,3,0,0,1,0,10,13,10,2,0,0,0,18,9,0,false
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\HullUtils.java,demo.convexhull.HullUtils,HullUtils/0,true,6,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,false
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\HullUtils.java,demo.convexhull.HullUtils,signedArea/1[java.util.List<demo.convexhull.Point2D>],false,9,1,1,1,0,2,2,9,1,4,1,2,0,0,1,0,0,1,0,4,5,6,1,0,0,0,8,9,0,false
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\HullUtils.java,demo.convexhull.HullUtils,canonicalize/1[java.util.List<demo.convexhull.Point2D>],false,13,2,3,1,2,6,7,10,2,5,1,7,1,1,2,0,0,1,0,5,6,2,2,0,0,0,9,9,0,false
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\HullUtils.java,demo.convexhull.HullUtils,"equalsUpToCyclicRotation/2[java.util.List<demo.convexhull.Point2D>,java.util.List<demo.convexhull.Point2D>]",false,23,2,3,1,2,4,5,9,4,2,2,5,2,2,0,1,0,0,0,0,2,0,1,0,0,0,15,9,0,false
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\HullUtils.java,demo.convexhull.HullUtils,"eqSeq/2[java.util.List<demo.convexhull.Point2D>,java.util.List<demo.convexhull.Point2D>]",false,29,1,1,1,0,4,3,7,3,1,2,3,0,0,1,0,0,0,0,1,1,2,2,0,0,0,9,10,0,false
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\mr\rotate\MR_Rotate_Output.java,demo.convexhull.mr.rotate.MR_Rotate_Output,transform/1[java.lang.Object],false,10,2,1,0,1,1,1,4,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,5,9,0,false
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\textnorm\TextOutputModelComparer.java,demo.textnorm.TextOutputModelComparer,"compare/2[demo.textnorm.TextMetrics,demo.textnorm.TextMetrics]",false,13,1,4,1,3,9,9,14,7,3,2,9,0,0,1,5,0,0,0,7,3,0,2,0,0,0,11,1,0,false
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\mr\scale\MR_Scale_Input.java,demo.convexhull.mr.scale.MR_Scale_Input,apply/1[java.lang.Object],false,11,2,1,0,1,1,1,4,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,4,9,0,false
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\Transforms.java,demo.convexhull.Transforms,"rotate/2[java.util.List<demo.convexhull.Point2D>,double]",false,14,2,4,2,2,1,2,3,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,9,0,false
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\Transforms.java,demo.convexhull.Transforms,"map/2[java.util.List<T>,java.util.function.Function<T,T>]",false,8,1,0,0,0,2,3,5,1,1,2,3,0,0,1,0,0,0,0,0,1,0,1,0,0,0,6,9,0,false
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\Transforms.java,demo.convexhull.Transforms,Transforms/0,true,7,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,false
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\Transforms.java,demo.convexhull.Transforms,"scale/2[java.util.List<demo.convexhull.Point2D>,double]",false,17,2,4,2,2,1,2,3,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,9,0,false
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\Transforms.java,demo.convexhull.Transforms,"translate/3[java.util.List<demo.convexhull.Point2D>,double,double]",false,11,2,4,2,2,1,2,3,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,9,0,false
