file,class,method,variable,usage
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\Point2D.java,demo.convexhull.Point2D,scale/1[double],k,2
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\Point2D.java,demo.convexhull.Point2D,"add/2[double,double]",dx,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\Point2D.java,demo.convexhull.Point2D,"add/2[double,double]",dy,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\Point2D.java,demo.convexhull.Point2D,"Point2D/2[double,double]",x,2
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\Point2D.java,demo.convexhull.Point2D,"Point2D/2[double,double]",y,2
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\Point2D.java,demo.convexhull.Point2D,compareTo/1[demo.convexhull.Point2D],cx,2
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\Point2D.java,demo.convexhull.Point2D,compareTo/1[demo.convexhull.Point2D],o,2
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\Point2D.java,demo.convexhull.Point2D,rotate/1[double],c,2
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\Point2D.java,demo.convexhull.Point2D,rotate/1[double],s,2
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\Point2D.java,demo.convexhull.Point2D,rotate/1[double],t,2
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\order\OrderOutputMetamorphosis.java,demo.order.OrderOutputMetamorphosis,addTax/1[java.math.BigDecimal],total,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\textnorm\TextOutputMetamorphosisDoubleCounts.java,demo.textnorm.TextOutputMetamorphosisDoubleCounts,doubleCounts/1[demo.textnorm.TextMetrics],original,3
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\textnorm\TextOutputMetamorphosisDoubleCounts.java,demo.textnorm.TextOutputMetamorphosisDoubleCounts,doubleCounts/1[demo.textnorm.TextMetrics],doubled,2
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\textnorm\TextOutputMetamorphosisDoubleCounts.java,demo.textnorm.TextOutputMetamorphosisDoubleCounts,doubleCounts/1[demo.textnorm.TextMetrics],e,2
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\target\generated-sources\annotations\mtaas\generated\order_total\MetamorphicFunction_order_total.java,mtaas.generated.order_total.MetamorphicFunction_order_total,run/1[demo.order.OrderGenModel],input,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\target\generated-sources\annotations\mtaas\generated\order_total\MetamorphicFunction_order_total.java,mtaas.generated.order_total.MetamorphicFunction_order_total,run/1[demo.order.OrderGenModel],model,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\target\generated-sources\annotations\mtaas\generated\order_total\MetamorphicFunction_order_total.java,mtaas.generated.order_total.MetamorphicFunction_order_total,run/1[demo.order.OrderGenModel],relation,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\HullArtifactEntry.java,demo.convexhull.HullArtifactEntry,run/1[java.util.List<demo.convexhull.Point2D>],input,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\order\OrderGenModel.java,demo.order.OrderGenModel,OrderGenModel/1[int],itemCount,2
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\textnorm\TextMetrics.java,demo.textnorm.TextMetrics,"TextMetrics/3[int,int,java.util.Map<java.lang.String,java.lang.Integer>]",tokenFrequencies,2
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\textnorm\TextMetrics.java,demo.textnorm.TextMetrics,"TextMetrics/3[int,int,java.util.Map<java.lang.String,java.lang.Integer>]",vocabularySize,2
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\textnorm\TextMetrics.java,demo.textnorm.TextMetrics,"TextMetrics/3[int,int,java.util.Map<java.lang.String,java.lang.Integer>]",totalTokens,2
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\generator\BaseCloud.java,demo.convexhull.generator.BaseCloud,cloud/1[long],a,2
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\generator\BaseCloud.java,demo.convexhull.generator.BaseCloud,cloud/1[long],seed,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\generator\BaseCloud.java,demo.convexhull.generator.BaseCloud,cloud/1[long],rnd,3
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\generator\BaseCloud.java,demo.convexhull.generator.BaseCloud,cloud/1[long],i,2
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\generator\BaseCloud.java,demo.convexhull.generator.BaseCloud,cloud/1[long],k,2
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\generator\BaseCloud.java,demo.convexhull.generator.BaseCloud,cloud/1[long],out,4
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\generator\BaseCloud.java,demo.convexhull.generator.BaseCloud,cloud/1[long],p,2
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\generator\BaseCloud.java,demo.convexhull.generator.BaseCloud,cloud/1[long],R,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\generator\BaseCloud.java,demo.convexhull.generator.BaseCloud,cloud/1[long],r,2
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\generator\BaseCloud.java,demo.convexhull.generator.BaseCloud,cloud/1[long],w,2
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\generator\BaseCloud.java,demo.convexhull.generator.BaseCloud,cloud/1[long],x,3
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\generator\BaseCloud.java,demo.convexhull.generator.BaseCloud,cloud/1[long],y,3
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\generator\BaseCloud.java,demo.convexhull.generator.BaseCloud,cloud/1[long],hull,3
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\HullUtils.java,demo.convexhull.HullUtils,signedArea/1[java.util.List<demo.convexhull.Point2D>],a,2
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\HullUtils.java,demo.convexhull.HullUtils,signedArea/1[java.util.List<demo.convexhull.Point2D>],b,2
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\HullUtils.java,demo.convexhull.HullUtils,signedArea/1[java.util.List<demo.convexhull.Point2D>],s,2
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\HullUtils.java,demo.convexhull.HullUtils,signedArea/1[java.util.List<demo.convexhull.Point2D>],poly,4
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\HullUtils.java,demo.convexhull.HullUtils,signedArea/1[java.util.List<demo.convexhull.Point2D>],i,4
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\HullUtils.java,demo.convexhull.HullUtils,canonicalize/1[java.util.List<demo.convexhull.Point2D>],res,9
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\HullUtils.java,demo.convexhull.HullUtils,canonicalize/1[java.util.List<demo.convexhull.Point2D>],i,8
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\HullUtils.java,demo.convexhull.HullUtils,canonicalize/1[java.util.List<demo.convexhull.Point2D>],best,3
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\HullUtils.java,demo.convexhull.HullUtils,canonicalize/1[java.util.List<demo.convexhull.Point2D>],hull,3
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\HullUtils.java,demo.convexhull.HullUtils,canonicalize/1[java.util.List<demo.convexhull.Point2D>],canon,2
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\HullUtils.java,demo.convexhull.HullUtils,"equalsUpToCyclicRotation/2[java.util.List<demo.convexhull.Point2D>,java.util.List<demo.convexhull.Point2D>]",a,3
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\HullUtils.java,demo.convexhull.HullUtils,"equalsUpToCyclicRotation/2[java.util.List<demo.convexhull.Point2D>,java.util.List<demo.convexhull.Point2D>]",b,2
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\HullUtils.java,demo.convexhull.HullUtils,"equalsUpToCyclicRotation/2[java.util.List<demo.convexhull.Point2D>,java.util.List<demo.convexhull.Point2D>]",ca,2
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\HullUtils.java,demo.convexhull.HullUtils,"equalsUpToCyclicRotation/2[java.util.List<demo.convexhull.Point2D>,java.util.List<demo.convexhull.Point2D>]",cb,3
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\HullUtils.java,demo.convexhull.HullUtils,"eqSeq/2[java.util.List<demo.convexhull.Point2D>,java.util.List<demo.convexhull.Point2D>]",a,3
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\HullUtils.java,demo.convexhull.HullUtils,"eqSeq/2[java.util.List<demo.convexhull.Point2D>,java.util.List<demo.convexhull.Point2D>]",b,2
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\HullUtils.java,demo.convexhull.HullUtils,"eqSeq/2[java.util.List<demo.convexhull.Point2D>,java.util.List<demo.convexhull.Point2D>]",i,6
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\mr\rotate\MR_Rotate_Output.java,demo.convexhull.mr.rotate.MR_Rotate_Output,transform/1[java.lang.Object],baseOut,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\mr\rotate\MR_Rotate_Output.java,demo.convexhull.mr.rotate.MR_Rotate_Output,transform/1[java.lang.Object],h,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\textnorm\TextOutputModelComparer.java,demo.textnorm.TextOutputModelComparer,"compare/2[demo.textnorm.TextMetrics,demo.textnorm.TextMetrics]",a,5
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\textnorm\TextOutputModelComparer.java,demo.textnorm.TextOutputModelComparer,"compare/2[demo.textnorm.TextMetrics,demo.textnorm.TextMetrics]",b,5
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\textnorm\TextOutputModelComparer.java,demo.textnorm.TextOutputModelComparer,"compare/2[demo.textnorm.TextMetrics,demo.textnorm.TextMetrics]",e,2
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\textnorm\TextOutputModelComparer.java,demo.textnorm.TextOutputModelComparer,"compare/2[demo.textnorm.TextMetrics,demo.textnorm.TextMetrics]",fa,2
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\textnorm\TextOutputModelComparer.java,demo.textnorm.TextOutputModelComparer,"compare/2[demo.textnorm.TextMetrics,demo.textnorm.TextMetrics]",fb,2
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\textnorm\TextOutputModelComparer.java,demo.textnorm.TextOutputModelComparer,"compare/2[demo.textnorm.TextMetrics,demo.textnorm.TextMetrics]",vb,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\mr\scale\MR_Scale_Input.java,demo.convexhull.mr.scale.MR_Scale_Input,apply/1[java.lang.Object],in,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\mr\scale\MR_Scale_Input.java,demo.convexhull.mr.scale.MR_Scale_Input,apply/1[java.lang.Object],pts,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\Transforms.java,demo.convexhull.Transforms,"rotate/2[java.util.List<demo.convexhull.Point2D>,double]",p,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\Transforms.java,demo.convexhull.Transforms,"rotate/2[java.util.List<demo.convexhull.Point2D>,double]",t,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\Transforms.java,demo.convexhull.Transforms,"rotate/2[java.util.List<demo.convexhull.Point2D>,double]",in,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\Transforms.java,demo.convexhull.Transforms,"map/2[java.util.List<T>,java.util.function.Function<T,T>]",p,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\Transforms.java,demo.convexhull.Transforms,"map/2[java.util.List<T>,java.util.function.Function<T,T>]",in,2
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\Transforms.java,demo.convexhull.Transforms,"map/2[java.util.List<T>,java.util.function.Function<T,T>]",f,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\Transforms.java,demo.convexhull.Transforms,"map/2[java.util.List<T>,java.util.function.Function<T,T>]",out,2
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\Transforms.java,demo.convexhull.Transforms,"scale/2[java.util.List<demo.convexhull.Point2D>,double]",p,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\Transforms.java,demo.convexhull.Transforms,"scale/2[java.util.List<demo.convexhull.Point2D>,double]",in,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\Transforms.java,demo.convexhull.Transforms,"scale/2[java.util.List<demo.convexhull.Point2D>,double]",k,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\Transforms.java,demo.convexhull.Transforms,"translate/3[java.util.List<demo.convexhull.Point2D>,double,double]",p,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\Transforms.java,demo.convexhull.Transforms,"translate/3[java.util.List<demo.convexhull.Point2D>,double,double]",dx,1
D:\dyst\.dyser.maga\code\MTaaS-Java\mtaas-sample\src\main\java\demo\convexhull\Transforms.java,demo.convexhull.Transforms,"translate/3[java.util.List<demo.convexhull.Point2D>,double,double]",in,1
